iteration,ka_mean,dataset,type
9,0.8245344870842047,synth_short,Filtered
10,0.8252772036154706,synth_short,Filtered
11,0.8219026202982713,synth_short,Filtered
12,0.8235354770531138,synth_short,Filtered
13,0.8207115591925804,synth_short,Filtered
14,0.8232269700454884,synth_short,Filtered
15,0.8206856812527934,synth_short,Filtered
16,0.8229608801353043,synth_short,Filtered
17,0.8216052670989382,synth_short,Filtered
18,0.8218385259074187,synth_short,Filtered
19,0.8219872007556857,synth_short,Filtered
20,0.8227481735984856,synth_short,Filtered
21,0.8243418914527135,synth_short,Filtered
22,0.8243120964929418,synth_short,Filtered
23,0.8233019415757574,synth_short,Filtered
24,0.8219615052775022,synth_short,Filtered
25,0.8221315302261933,synth_short,Filtered
26,0.8227940682917473,synth_short,Filtered
27,0.8218406667738851,synth_short,Filtered
28,0.8208791551282392,synth_short,Filtered
29,0.820701181513044,synth_short,Filtered
1,0.9360384153661465,synth,Filtered
2,0.9413620199146515,synth,Filtered
3,0.9393534173942063,synth,Filtered
4,0.9408151573826631,synth,Filtered
5,0.9458760272203673,synth,Filtered
6,0.9459124290768619,synth,Filtered
7,0.9474328304340577,synth,Filtered
8,0.9491121265812581,synth,Filtered
9,0.9493340955009706,synth,Filtered
10,0.94705509863244,synth,Filtered
11,0.9455159446930418,synth,Filtered
12,0.9462569395002742,synth,Filtered
13,0.9450984573414074,synth,Filtered
14,0.9446851241816917,synth,Filtered
15,0.9443671917669318,synth,Filtered
16,0.9452353214084485,synth,Filtered
17,0.9452806376754916,synth,Filtered
18,0.9456371256895193,synth,Filtered
19,0.9446315789473684,synth,Filtered
20,0.9451424908936751,synth,Filtered
21,0.9453161004792595,synth,Filtered
22,0.9458024797410456,synth,Filtered
23,0.9463616021122583,synth,Filtered
24,0.9470388556087785,synth,Filtered
25,0.9462024771459754,synth,Filtered
26,0.9465974454713963,synth,Filtered
27,0.9466129666471431,synth,Filtered
28,0.9468165844914186,synth,Filtered
29,0.9464505736898907,synth,Filtered
1,1.0,tweets_pop,Filtered
2,0.9861182041877524,tweets_pop,Filtered
3,0.9546800870226206,tweets_pop,Filtered
4,0.9540215442864084,tweets_pop,Filtered
5,0.952584280126653,tweets_pop,Filtered
6,0.9502238856986601,tweets_pop,Filtered
7,0.954425041494261,tweets_pop,Filtered
8,0.9581806434939915,tweets_pop,Filtered
9,0.9582329921733895,tweets_pop,Filtered
10,0.9567239140046424,tweets_pop,Filtered
11,0.9543885343655194,tweets_pop,Filtered
12,0.9490217024904822,tweets_pop,Filtered
13,0.9484366927190456,tweets_pop,Filtered
14,0.9485174996199468,tweets_pop,Filtered
15,0.9500543891378994,tweets_pop,Filtered
16,0.9491687047416795,tweets_pop,Filtered
17,0.9475504894012354,tweets_pop,Filtered
18,0.9492649416181507,tweets_pop,Filtered
19,0.9498541431467402,tweets_pop,Filtered
20,0.9507325690566784,tweets_pop,Filtered
21,0.9498132742143347,tweets_pop,Filtered
22,0.9507746257720088,tweets_pop,Filtered
23,0.9493642786387578,tweets_pop,Filtered
24,0.9476118552924981,tweets_pop,Filtered
25,0.9488634309643156,tweets_pop,Filtered
26,0.9475706662182732,tweets_pop,Filtered
27,0.9474845480641996,tweets_pop,Filtered
28,0.9481587182529154,tweets_pop,Filtered
29,0.9466143462758416,tweets_pop,Filtered
1,0.9395687822654115,tweets_rd,Filtered
2,0.9463773314203731,tweets_rd,Filtered
3,0.9463655610444601,tweets_rd,Filtered
4,0.9435921452102577,tweets_rd,Filtered
5,0.9502843235119282,tweets_rd,Filtered
6,0.9462939181402088,tweets_rd,Filtered
7,0.9517901833275247,tweets_rd,Filtered
8,0.9529556294262177,tweets_rd,Filtered
9,0.9569795232866094,tweets_rd,Filtered
10,0.954543756421033,tweets_rd,Filtered
11,0.9523515961262554,tweets_rd,Filtered
12,0.9519209415944926,tweets_rd,Filtered
13,0.9536995205916002,tweets_rd,Filtered
14,0.9554620146187169,tweets_rd,Filtered
15,0.9571699352893074,tweets_rd,Filtered
16,0.9537848299912816,tweets_rd,Filtered
17,0.9537686634286743,tweets_rd,Filtered
18,0.9537975475475475,tweets_rd,Filtered
19,0.9542756195635,tweets_rd,Filtered
20,0.9545062301378633,tweets_rd,Filtered
21,0.9538307190263893,tweets_rd,Filtered
22,0.9550597609561753,tweets_rd,Filtered
23,0.9542063188803198,tweets_rd,Filtered
24,0.9540493407554795,tweets_rd,Filtered
25,0.9552298537944724,tweets_rd,Filtered
26,0.9533809821614699,tweets_rd,Filtered
27,0.9535734418032524,tweets_rd,Filtered
28,0.9536504499234043,tweets_rd,Filtered
29,0.9524345617766254,tweets_rd,Filtered
1,0.9641470944190901,manifestos_multi,Filtered & Balanced
2,0.9702920560908441,manifestos_multi,Filtered & Balanced
3,0.9729238312698124,manifestos_multi,Filtered & Balanced
4,0.9729751345950294,manifestos_multi,Filtered & Balanced
5,0.9741760475305089,manifestos_multi,Filtered & Balanced
6,0.9749797143379045,manifestos_multi,Filtered & Balanced
7,0.975744699393953,manifestos_multi,Filtered & Balanced
8,0.9739990168840452,manifestos_multi,Filtered & Balanced
9,0.9741986892573651,manifestos_multi,Filtered & Balanced
10,0.9747315921302686,manifestos_multi,Filtered & Balanced
11,0.9749980531954786,manifestos_multi,Filtered & Balanced
12,0.9734577043351573,manifestos_multi,Filtered & Balanced
13,0.9731927534926825,manifestos_multi,Filtered & Balanced
14,0.9736259562051087,manifestos_multi,Filtered & Balanced
15,0.9740336226271497,manifestos_multi,Filtered & Balanced
16,0.974107848369207,manifestos_multi,Filtered & Balanced
17,0.9738309038821035,manifestos_multi,Filtered & Balanced
18,0.9743048559138356,manifestos_multi,Filtered & Balanced
19,0.973519357795501,manifestos_multi,Filtered & Balanced
20,0.9737777607459395,manifestos_multi,Filtered & Balanced
21,0.9739301680710621,manifestos_multi,Filtered & Balanced
22,0.974398087958489,manifestos_multi,Filtered & Balanced
23,0.9747411977009716,manifestos_multi,Filtered & Balanced
24,0.9746605808825024,manifestos_multi,Filtered & Balanced
25,0.974858046674085,manifestos_multi,Filtered & Balanced
26,0.9749412424767797,manifestos_multi,Filtered & Balanced
27,0.9751827221331038,manifestos_multi,Filtered & Balanced
28,0.9755564283250034,manifestos_multi,Filtered & Balanced
29,0.9750716641683221,manifestos_multi,Filtered & Balanced
1,0.920879540761092,manifestos,Filtered & Balanced
2,0.9187866531850354,manifestos,Filtered & Balanced
3,0.9115666398693688,manifestos,Filtered & Balanced
4,0.914517569200063,manifestos,Filtered & Balanced
5,0.9177860343751773,manifestos,Filtered & Balanced
6,0.9209132055774369,manifestos,Filtered & Balanced
7,0.9232653061224491,manifestos,Filtered & Balanced
8,0.9230586356582173,manifestos,Filtered & Balanced
9,0.9232347840342231,manifestos,Filtered & Balanced
10,0.9245197061923417,manifestos,Filtered & Balanced
11,0.9242000266621745,manifestos,Filtered & Balanced
12,0.9225755513720878,manifestos,Filtered & Balanced
13,0.9228431812071194,manifestos,Filtered & Balanced
14,0.9230090245699926,manifestos,Filtered & Balanced
15,0.9216557904484961,manifestos,Filtered & Balanced
16,0.9220017095515715,manifestos,Filtered & Balanced
17,0.9205199624536217,manifestos,Filtered & Balanced
18,0.9213976077791811,manifestos,Filtered & Balanced
19,0.9223144039125948,manifestos,Filtered & Balanced
20,0.9237030724127561,manifestos,Filtered & Balanced
21,0.9226878974061525,manifestos,Filtered & Balanced
22,0.9226701507761008,manifestos,Filtered & Balanced
23,0.9232058506167012,manifestos,Filtered & Balanced
24,0.9232732222867397,manifestos,Filtered & Balanced
25,0.9241048365846476,manifestos,Filtered & Balanced
26,0.9241133629097821,manifestos,Filtered & Balanced
27,0.9234613470254528,manifestos,Filtered & Balanced
28,0.9232449087828065,manifestos,Filtered & Balanced
29,0.9231953953548824,manifestos,Filtered & Balanced
1,0.9956493913673065,mii_long,Filtered & Balanced
2,0.9971851489749162,mii_long,Filtered & Balanced
3,0.9979084004165373,mii_long,Filtered & Balanced
4,0.9983293445329126,mii_long,Filtered & Balanced
5,0.9986046456471928,mii_long,Filtered & Balanced
6,0.9988045635496339,mii_long,Filtered & Balanced
7,0.9989568785318812,mii_long,Filtered & Balanced
8,0.9990728668947945,mii_long,Filtered & Balanced
9,0.9991646463606632,mii_long,Filtered & Balanced
10,0.9992405155132605,mii_long,Filtered & Balanced
11,0.9993035861133727,mii_long,Filtered & Balanced
12,0.9987149394292394,mii_long,Filtered & Balanced
13,0.9988067275248466,mii_long,Filtered & Balanced
14,0.9988865470613962,mii_long,Filtered & Balanced
15,0.9989560346689238,mii_long,Filtered & Balanced
16,0.9990177840710122,mii_long,Filtered & Balanced
17,0.998608642705492,mii_long,Filtered & Balanced
18,0.9986825996777864,mii_long,Filtered & Balanced
19,0.9987480131884413,mii_long,Filtered & Balanced
20,0.9988085229303109,mii_long,Filtered & Balanced
21,0.9988624962176688,mii_long,Filtered & Balanced
22,0.9989125410277997,mii_long,Filtered & Balanced
23,0.9989582637582598,mii_long,Filtered & Balanced
24,0.9990001770355599,mii_long,Filtered & Balanced
25,0.9990384815297133,mii_long,Filtered & Balanced
26,0.9990741269358133,mii_long,Filtered & Balanced
27,0.999107214747886,mii_long,Filtered & Balanced
28,0.9991382705402831,mii_long,Filtered & Balanced
29,0.9991668665671034,mii_long,Filtered & Balanced
1,1.0,mii,Filtered & Balanced
2,1.0,mii,Filtered & Balanced
3,1.0,mii,Filtered & Balanced
4,1.0,mii,Filtered & Balanced
5,1.0,mii,Filtered & Balanced
6,1.0,mii,Filtered & Balanced
7,1.0,mii,Filtered & Balanced
8,1.0,mii,Filtered & Balanced
9,1.0,mii,Filtered & Balanced
10,1.0,mii,Filtered & Balanced
11,1.0,mii,Filtered & Balanced
12,1.0,mii,Filtered & Balanced
13,1.0,mii,Filtered & Balanced
14,1.0,mii,Filtered & Balanced
15,1.0,mii,Filtered & Balanced
16,1.0,mii,Filtered & Balanced
17,1.0,mii,Filtered & Balanced
18,1.0,mii,Filtered & Balanced
19,1.0,mii,Filtered & Balanced
20,1.0,mii,Filtered & Balanced
21,1.0,mii,Filtered & Balanced
22,1.0,mii,Filtered & Balanced
23,0.9997099150692313,mii,Filtered & Balanced
24,0.9997214477421633,mii,Filtered & Balanced
25,0.999732173038592,mii,Filtered & Balanced
26,0.9997420490452668,mii,Filtered & Balanced
27,0.9997513379835573,mii,Filtered & Balanced
28,0.9997598738386307,mii,Filtered & Balanced
29,0.9997678795867223,mii,Filtered & Balanced
1,0.9626522327469553,news_short,Filtered & Balanced
2,0.9309474789067862,news_short,Filtered & Balanced
3,0.9340087685422866,news_short,Filtered & Balanced
4,0.9413572147137296,news_short,Filtered & Balanced
5,0.9419849182650943,news_short,Filtered & Balanced
6,0.9343572274954792,news_short,Filtered & Balanced
7,0.9265886185978093,news_short,Filtered & Balanced
8,0.9291542626991931,news_short,Filtered & Balanced
9,0.9332368263759819,news_short,Filtered & Balanced
10,0.9358233423709882,news_short,Filtered & Balanced
11,0.9356384143984603,news_short,Filtered & Balanced
12,0.9326579367879899,news_short,Filtered & Balanced
13,0.9321596593902589,news_short,Filtered & Balanced
14,0.9245367651329844,news_short,Filtered & Balanced
15,0.9246799799544246,news_short,Filtered & Balanced
16,0.926556503084375,news_short,Filtered & Balanced
17,0.9266531347311934,news_short,Filtered & Balanced
18,0.9250274083727338,news_short,Filtered & Balanced
19,0.9266758295778909,news_short,Filtered & Balanced
20,0.9259596229341865,news_short,Filtered & Balanced
21,0.9245506774977086,news_short,Filtered & Balanced
22,0.9245787873816586,news_short,Filtered & Balanced
23,0.9235096584795486,news_short,Filtered & Balanced
24,0.9230590416655067,news_short,Filtered & Balanced
25,0.9233172154317686,news_short,Filtered & Balanced
26,0.9246367851894984,news_short,Filtered & Balanced
27,0.9254334411632175,news_short,Filtered & Balanced
28,0.9224863238297997,news_short,Filtered & Balanced
29,0.923039539076175,news_short,Filtered & Balanced
1,0.9611404517373765,news,Filtered & Balanced
2,0.9611839248863973,news,Filtered & Balanced
