temperature,ka_mean,frac,dataset,type
5.0,0.8549442445782506,0.1,manifestos_multi,Filtered
5.0,0.856206560895827,0.25,manifestos_multi,Filtered
5.0,0.8505889398564583,0.5,manifestos_multi,Filtered
5.0,0.8492278560416487,0.75,manifestos_multi,Filtered
0.1,0.9625,0.02,manifestos,Filtered
0.1,0.9534883720930233,0.05,manifestos,Filtered
0.1,0.9350179799874921,0.1,manifestos,Filtered
0.1,0.9290160695096865,0.25,manifestos,Filtered
0.1,0.9302608124656735,0.5,manifestos,Filtered
0.1,0.9266126481728919,0.75,manifestos,Filtered
0.3,0.9626068376068376,0.02,manifestos,Filtered
0.3,0.9255781603199443,0.05,manifestos,Filtered
0.3,0.93064112102138,0.1,manifestos,Filtered
0.3,0.9180013305799469,0.25,manifestos,Filtered
0.3,0.920087648064136,0.5,manifestos,Filtered
0.3,0.9183792184429675,0.75,manifestos,Filtered
0.5,0.8877005347593583,0.02,manifestos,Filtered
0.5,0.8480620155038759,0.05,manifestos,Filtered
0.5,0.8525188461431472,0.1,manifestos,Filtered
0.5,0.8373877554295829,0.25,manifestos,Filtered
0.5,0.8456021670593122,0.5,manifestos,Filtered
0.5,0.847957527706499,0.75,manifestos,Filtered
0.7,0.8131007475970096,0.02,manifestos,Filtered
0.7,0.8632984901277584,0.05,manifestos,Filtered
0.7,0.8656811661755811,0.1,manifestos,Filtered
0.7,0.8731928109270625,0.25,manifestos,Filtered
0.7,0.8695730945311382,0.5,manifestos,Filtered
0.7,0.8678443379319052,0.75,manifestos,Filtered
0.9,0.8803827751196173,0.02,manifestos,Filtered
0.9,0.8495346744989529,0.05,manifestos,Filtered
0.9,0.8391788524782711,0.1,manifestos,Filtered
0.9,0.8342303749117685,0.25,manifestos,Filtered
0.9,0.8489610874941328,0.5,manifestos,Filtered
0.9,0.8480545555987877,0.75,manifestos,Filtered
1.1,0.9252136752136753,0.02,manifestos,Filtered
1.1,0.8573023120968326,0.05,manifestos,Filtered
1.1,0.8350292295149931,0.1,manifestos,Filtered
1.1,0.8357793654553596,0.25,manifestos,Filtered
1.1,0.8481690006485976,0.5,manifestos,Filtered
1.1,0.8478807636875827,0.75,manifestos,Filtered
1.3,0.8128342245989305,0.02,manifestos,Filtered
1.3,0.8263490407465368,0.05,manifestos,Filtered
1.3,0.8288165459401888,0.1,manifestos,Filtered
1.3,0.8064130995875678,0.25,manifestos,Filtered
1.3,0.820286446550118,0.5,manifestos,Filtered
1.3,0.8200231157945497,0.75,manifestos,Filtered
1.5,0.8502673796791445,0.02,manifestos,Filtered
1.5,0.8138321009134406,0.05,manifestos,Filtered
1.5,0.8101757606096001,0.1,manifestos,Filtered
1.5,0.7921255607162743,0.25,manifestos,Filtered
1.5,0.796664154024559,0.5,manifestos,Filtered
1.5,0.8016811507509595,0.75,manifestos,Filtered
1.7,0.8877005347593583,0.02,manifestos,Filtered
1.7,0.7730509197906605,0.05,manifestos,Filtered
1.7,0.8046295826783632,0.1,manifestos,Filtered
1.7,0.8253739092960044,0.25,manifestos,Filtered
1.7,0.8257900872988979,0.5,manifestos,Filtered
1.7,0.8279374538870765,0.75,manifestos,Filtered
1.9,0.8491379310344828,0.02,manifestos,Filtered
1.9,0.7952153110047847,0.05,manifestos,Filtered
1.9,0.7995842923903188,0.1,manifestos,Filtered
1.9,0.8075073623267016,0.25,manifestos,Filtered
1.9,0.8160849525407298,0.5,manifestos,Filtered
1.9,0.8136028006009766,0.75,manifestos,Filtered
2.1,0.775,0.02,manifestos,Filtered
2.1,0.7963148640597527,0.05,manifestos,Filtered
2.1,0.7763807775738362,0.1,manifestos,Filtered
2.1,0.7719503718646209,0.25,manifestos,Filtered
2.1,0.7759497814003038,0.5,manifestos,Filtered
2.1,0.7800131519270217,0.75,manifestos,Filtered
2.3,0.85,0.02,manifestos,Filtered
2.3,0.7610221603434273,0.05,manifestos,Filtered
2.3,0.7922309975914412,0.1,manifestos,Filtered
2.3,0.7895330652028665,0.25,manifestos,Filtered
2.3,0.7877282198332275,0.5,manifestos,Filtered
2.3,0.7848899047612011,0.75,manifestos,Filtered
2.5,0.8125,0.02,manifestos,Filtered
2.5,0.7533986813699749,0.05,manifestos,Filtered
2.5,0.7699724054381479,0.1,manifestos,Filtered
2.5,0.7611846543294875,0.25,manifestos,Filtered
2.5,0.7717136319371114,0.5,manifestos,Filtered
2.5,0.777673161579655,0.75,manifestos,Filtered
2.7,0.8097826086956521,0.02,manifestos,Filtered
2.7,0.7822027523341741,0.05,manifestos,Filtered
2.7,0.7922680383768097,0.1,manifestos,Filtered
2.7,0.7907791719558637,0.25,manifestos,Filtered
2.7,0.78260637831302,0.5,manifestos,Filtered
2.7,0.7882024404951394,0.75,manifestos,Filtered
2.9,0.5936883629191321,0.02,manifestos,Filtered
2.9,0.7152593714502082,0.05,manifestos,Filtered
2.9,0.7377095304322367,0.1,manifestos,Filtered
2.9,0.720154294858429,0.25,manifestos,Filtered
2.9,0.726640375600814,0.5,manifestos,Filtered
2.9,0.7262234011542517,0.75,manifestos,Filtered
3.1,0.849624060150376,0.02,manifestos,Filtered
3.1,0.773720792664892,0.05,manifestos,Filtered
3.1,0.7786247035759707,0.1,manifestos,Filtered
3.1,0.7554298293158369,0.25,manifestos,Filtered
3.1,0.7755115981129759,0.5,manifestos,Filtered
3.1,0.7816301766005291,0.75,manifestos,Filtered
3.3,0.7566889632107023,0.02,manifestos,Filtered
3.3,0.6877574023496771,0.05,manifestos,Filtered
3.3,0.6996347318785711,0.1,manifestos,Filtered
3.3,0.6818592716298741,0.25,manifestos,Filtered
3.3,0.685483964708263,0.5,manifestos,Filtered
3.3,0.6894012039454092,0.75,manifestos,Filtered
3.5,0.6213235294117647,0.02,manifestos,Filtered
3.5,0.7029296875,0.05,manifestos,Filtered
3.5,0.7168984327332004,0.1,manifestos,Filtered
3.5,0.7436218548023825,0.25,manifestos,Filtered
3.5,0.7421727216648749,0.5,manifestos,Filtered
3.5,0.743834689972825,0.75,manifestos,Filtered
3.7,0.9252136752136753,0.02,manifestos,Filtered
3.7,0.8387596899224806,0.05,manifestos,Filtered
3.7,0.8297035869290205,0.1,manifestos,Filtered
3.7,0.8185249299344297,0.25,manifestos,Filtered
3.7,0.8205698398475313,0.5,manifestos,Filtered
3.7,0.8252496081846397,0.75,manifestos,Filtered
3.9,0.8875,0.02,manifestos,Filtered
3.9,0.7853186199677236,0.05,manifestos,Filtered
3.9,0.74514190974446,0.1,manifestos,Filtered
3.9,0.7546776725784387,0.25,manifestos,Filtered
3.9,0.7540118542618583,0.5,manifestos,Filtered
3.9,0.7592587183468303,0.75,manifestos,Filtered
4.1,0.7626728110599078,0.02,manifestos,Filtered
4.1,0.7360418151579948,0.05,manifestos,Filtered
4.1,0.7403356533791317,0.1,manifestos,Filtered
4.1,0.7054494502498523,0.25,manifestos,Filtered
4.1,0.716897494505603,0.5,manifestos,Filtered
4.1,0.7118655194125487,0.75,manifestos,Filtered
4.3,0.8329156223893066,0.02,manifestos,Filtered
4.3,0.7840755735492577,0.05,manifestos,Filtered
4.3,0.7629171495612987,0.1,manifestos,Filtered
4.3,0.7602517283787821,0.25,manifestos,Filtered
4.3,0.762339288833112,0.5,manifestos,Filtered
4.3,0.7586961074031867,0.75,manifestos,Filtered
4.5,0.8381410256410257,0.02,manifestos,Filtered
4.5,0.5906725874094507,0.05,manifestos,Filtered
4.5,0.6189472677885226,0.1,manifestos,Filtered
4.5,0.5941123201176495,0.25,manifestos,Filtered
4.5,0.589396609464108,0.5,manifestos,Filtered
4.5,0.5905639957225026,0.75,manifestos,Filtered
4.8,0.8039596273291926,0.02,manifestos,Filtered
4.8,0.787321063394683,0.05,manifestos,Filtered
4.8,0.7414572713643178,0.1,manifestos,Filtered
4.8,0.7163536772136583,0.25,manifestos,Filtered
4.8,0.7098283871493456,0.5,manifestos,Filtered
4.8,0.7106063523731956,0.75,manifestos,Filtered
5.0,0.7452830188679245,0.02,manifestos,Filtered
5.0,0.7901148625130525,0.05,manifestos,Filtered
5.0,0.7779880448169175,0.1,manifestos,Filtered
5.0,0.776583485028407,0.25,manifestos,Filtered
