temperature,ka_mean,dataset,type
1.3,0.9450715243047505,synth,Filtered
1.5,0.926607150953707,synth,Filtered
1.7,0.9236625747918307,synth,Filtered
1.9,0.9342506554012754,synth,Filtered
2.1,0.9289818669383405,synth,Filtered
2.3,0.9165559329907382,synth,Filtered
2.5,0.9312064708191043,synth,Filtered
2.7,0.9101229172762701,synth,Filtered
2.9,0.9120485299290172,synth,Filtered
3.1,0.8961651627254208,synth,Filtered
3.3,0.9118138866680825,synth,Filtered
3.5,0.9344620995630383,synth,Filtered
3.7,0.8932524090526466,synth,Filtered
3.9,0.9120400903751231,synth,Filtered
4.1,0.8519373468693566,synth,Filtered
4.3,0.8501241103325733,synth,Filtered
4.5,0.9326927523495441,synth,Filtered
4.8,0.8758484731904486,synth,Filtered
5.0,0.929386900383043,synth,Filtered
0.1,0.7787377450980392,tweets_pop,Filtered
0.3,0.7696542212375926,tweets_pop,Filtered
0.5,0.7597893361011803,tweets_pop,Filtered
0.7,0.7631044444444445,tweets_pop,Filtered
0.9,0.7406932898189597,tweets_pop,Filtered
1.1,0.7577192067939446,tweets_pop,Filtered
1.3,0.7765366666666668,tweets_pop,Filtered
1.5,0.7317997966331489,tweets_pop,Filtered
1.7,0.7265429761453996,tweets_pop,Filtered
1.9,0.755248994741726,tweets_pop,Filtered
2.1,0.7368888888888889,tweets_pop,Filtered
2.3,0.7560183092224233,tweets_pop,Filtered
2.5,0.7829684145263328,tweets_pop,Filtered
2.7,0.6499999999999999,tweets_pop,Filtered
2.9,0.7587046812827952,tweets_pop,Filtered
3.1,0.7774812982909043,tweets_pop,Filtered
3.3,0.690801919359293,tweets_pop,Filtered
3.5,0.8965100965100965,tweets_pop,Filtered
3.7,0.6190474943136921,tweets_pop,Filtered
3.9,0.48132315521628444,tweets_pop,Filtered
4.1,0.638019454534261,tweets_pop,Filtered
4.3,0.6477564102564102,tweets_pop,Filtered
4.5,0.5806765899864678,tweets_pop,Filtered
4.8,0.6049166220899127,tweets_pop,Filtered
5.0,0.8023890947088439,tweets_pop,Filtered
0.1,0.9170775578947369,tweets_rd,Filtered
0.3,0.9169925582744098,tweets_rd,Filtered
0.5,0.8298287448515067,tweets_rd,Filtered
0.7,0.8564053125408311,tweets_rd,Filtered
0.9,0.8801576982762237,tweets_rd,Filtered
1.1,0.8647668430636167,tweets_rd,Filtered
1.3,0.8517481875421553,tweets_rd,Filtered
1.5,0.8511176337773764,tweets_rd,Filtered
1.7,0.8061115328385065,tweets_rd,Filtered
1.9,0.7604008016032066,tweets_rd,Filtered
2.1,0.697304741294511,tweets_rd,Filtered
2.3,0.6890264976958524,tweets_rd,Filtered
2.5,0.7710416666666667,tweets_rd,Filtered
2.7,0.7618833333333335,tweets_rd,Filtered
2.9,0.8102784915619141,tweets_rd,Filtered
3.1,0.7703410121273944,tweets_rd,Filtered
3.3,0.7574267855888757,tweets_rd,Filtered
3.5,0.8249229023264995,tweets_rd,Filtered
3.7,0.7050082925977653,tweets_rd,Filtered
3.9,0.5985305427378595,tweets_rd,Filtered
4.1,0.767224924679772,tweets_rd,Filtered
4.3,0.5669837164814799,tweets_rd,Filtered
4.5,0.7472709840970895,tweets_rd,Filtered
4.8,0.6396658870698295,tweets_rd,Filtered
5.0,0.830127339041072,tweets_rd,Filtered
0.1,0.960342150023418,manifestos_multi,Filtered & Balanced
0.3,0.9109179808718302,manifestos_multi,Filtered & Balanced
0.5,0.9359164483545191,manifestos_multi,Filtered & Balanced
0.7,0.958855541866143,manifestos_multi,Filtered & Balanced
0.9,0.9041534324863343,manifestos_multi,Filtered & Balanced
1.1,0.9116423274438998,manifestos_multi,Filtered & Balanced
1.3,0.896675959115631,manifestos_multi,Filtered & Balanced
1.5,0.9121908705267836,manifestos_multi,Filtered & Balanced
1.7,0.9101091864439664,manifestos_multi,Filtered & Balanced
1.9,0.9000664663859242,manifestos_multi,Filtered & Balanced
2.1,0.9254188550617832,manifestos_multi,Filtered & Balanced
2.3,0.9227648346919973,manifestos_multi,Filtered & Balanced
2.5,0.909514224042556,manifestos_multi,Filtered & Balanced
2.7,0.8980145784982265,manifestos_multi,Filtered & Balanced
2.9,0.8957469698908158,manifestos_multi,Filtered & Balanced
3.1,0.9212321714975571,manifestos_multi,Filtered & Balanced
3.3,0.8969875461791431,manifestos_multi,Filtered & Balanced
3.5,0.887503370171798,manifestos_multi,Filtered & Balanced
3.7,0.8876621324436833,manifestos_multi,Filtered & Balanced
3.9,0.8966005244849602,manifestos_multi,Filtered & Balanced
4.1,0.8745068292109596,manifestos_multi,Filtered & Balanced
4.3,0.8798694084846055,manifestos_multi,Filtered & Balanced
4.5,0.9203747200148413,manifestos_multi,Filtered & Balanced
4.8,0.8367225272138714,manifestos_multi,Filtered & Balanced
5.0,0.8465792049315498,manifestos_multi,Filtered & Balanced
0.1,0.9279706507596818,manifestos,Filtered & Balanced
0.3,0.9214029697900665,manifestos,Filtered & Balanced
0.5,0.8517929903822018,manifestos,Filtered & Balanced
0.7,0.8634398224964184,manifestos,Filtered & Balanced
0.9,0.8460721508760518,manifestos,Filtered & Balanced
1.1,0.834960027448352,manifestos,Filtered & Balanced
1.3,0.821482797609433,manifestos,Filtered & Balanced
1.5,0.7968987695551576,manifestos,Filtered & Balanced
1.7,0.8288655102038408,manifestos,Filtered & Balanced
1.9,0.8107908799429994,manifestos,Filtered & Balanced
2.1,0.7797910494308434,manifestos,Filtered & Balanced
2.3,0.7749184381045752,manifestos,Filtered & Balanced
2.5,0.7759530517949461,manifestos,Filtered & Balanced
2.7,0.7935614629188655,manifestos,Filtered & Balanced
2.9,0.7273182223799427,manifestos,Filtered & Balanced
3.1,0.782526564344746,manifestos,Filtered & Balanced
3.3,0.6820060133149337,manifestos,Filtered & Balanced
3.5,0.7436249826637694,manifestos,Filtered & Balanced
3.7,0.8232578635573734,manifestos,Filtered & Balanced
3.9,0.7535681294528618,manifestos,Filtered & Balanced
4.1,0.7093002668525252,manifestos,Filtered & Balanced
4.3,0.755144676692429,manifestos,Filtered & Balanced
4.5,0.5858400136535813,manifestos,Filtered & Balanced
4.8,0.6996041105275177,manifestos,Filtered & Balanced
5.0,0.7706133553557094,manifestos,Filtered & Balanced
0.1,0.9414945063447849,mii_long,Filtered & Balanced
0.3,0.9563244612878152,mii_long,Filtered & Balanced
0.5,0.9633829517797204,mii_long,Filtered & Balanced
0.7,0.9491680500097208,mii_long,Filtered & Balanced
0.9,0.9643180818496618,mii_long,Filtered & Balanced
1.1,0.9483525986918233,mii_long,Filtered & Balanced
1.3,0.9443295887613022,mii_long,Filtered & Balanced
1.5,0.8963239491245383,mii_long,Filtered & Balanced
1.7,0.9316413700058259,mii_long,Filtered & Balanced
1.9,0.9169518204099633,mii_long,Filtered & Balanced
2.1,0.9605416650208687,mii_long,Filtered & Balanced
2.3,0.9571209754493029,mii_long,Filtered & Balanced
2.5,0.952788183618198,mii_long,Filtered & Balanced
2.7,0.9237816467725994,mii_long,Filtered & Balanced
2.9,0.9265710987154554,mii_long,Filtered & Balanced
3.1,0.9630614017114032,mii_long,Filtered & Balanced
3.3,0.9221818851802532,mii_long,Filtered & Balanced
3.5,0.9575497493543977,mii_long,Filtered & Balanced
3.7,0.9111758278099894,mii_long,Filtered & Balanced
3.9,0.9698217247097844,mii_long,Filtered & Balanced
4.1,0.8672742615976751,mii_long,Filtered & Balanced
4.3,0.7419862459215014,mii_long,Filtered & Balanced
4.5,0.9613202321345201,mii_long,Filtered & Balanced
4.8,0.9046832735736303,mii_long,Filtered & Balanced
5.0,0.9449675971799866,mii_long,Filtered & Balanced
0.1,0.9821709824713644,mii,Filtered & Balanced
0.3,0.9640203592712268,mii,Filtered & Balanced
0.5,0.9537028618936609,mii,Filtered & Balanced
0.7,0.9654624362174435,mii,Filtered & Balanced
0.9,0.9684995547640249,mii,Filtered & Balanced
1.1,0.9532169676725704,mii,Filtered & Balanced
1.3,0.9601682743912114,mii,Filtered & Balanced
1.5,0.9346355490946903,mii,Filtered & Balanced
1.7,0.9456097594583244,mii,Filtered & Balanced
1.9,0.965484348514666,mii,Filtered & Balanced
2.1,0.9391802318188329,mii,Filtered & Balanced
2.3,0.9471044034031664,mii,Filtered & Balanced
2.5,0.9430020353630507,mii,Filtered & Balanced
2.7,0.9743227436956386,mii,Filtered & Balanced
2.9,0.9751205435785588,mii,Filtered & Balanced
3.1,0.9793069247415244,mii,Filtered & Balanced
3.3,0.9894279103167637,mii,Filtered & Balanced
3.5,0.982765666580718,mii,Filtered & Balanced
3.7,0.9796804782075816,mii,Filtered & Balanced
3.9,0.9606090153858912,mii,Filtered & Balanced
4.1,0.9887039923270591,mii,Filtered & Balanced
4.3,0.8459632234302559,mii,Filtered & Balanced
4.5,0.9758699848698283,mii,Filtered & Balanced
4.8,0.9714065142485387,mii,Filtered & Balanced
5.0,1.0,mii,Filtered & Balanced
0.1,0.5564989678837007,news_short,Filtered & Balanced
0.3,0.5406073191416397,news_short,Filtered & Balanced
0.5,0.8631252049230469,news_short,Filtered & Balanced
0.7,0.7843515827173408,news_short,Filtered & Balanced
0.9,0.7836320048439709,news_short,Filtered & Balanced
